Code_ISO,arriv,hdi,gini,gdp_cap,alphab,dens_pop,urb_pop,median_age,life_exp,p65yrs,prev_cvlds,prev_ch.resp,prev_diab,prev_malaria,prev_nutdef,pref_respdtub,alcohol_cons,med_1000,health_exp,lack_hygien,immuniz_dtp1,immuniz_bcg,pm25,hous_fossf,epi,lat_abs,ah_avg,ws2m_avg,rh2m_avg,tdew_avg,tmax_avg,tmin_avg,tmoy_avg,insol_avg,conf_pm,death_pm
DZA,2371000,0.759,27.6,3973.964072,81.40783691,18.07629545,73.18900072,29.1,76.693,6.552777882,2651013.272,1900258.904,2957147.771,2093.502552,4438995.48,5699925.09,0.95,1.7,255.87,1.9,96,99,35.18,78.9,44.8,28.0339,5.066210557,3.819014778,22.84926108,0.142019704,34.1992775,18.52067323,25.9408046,20.28589491,4554.380741,122.3838848
AGO,218000,0.574,51.3,2790.726615,66.03011322,25.52762894,66.17699852,16.799999,60.782,2.19934175,1024265.637,1216879.057,749062.2236,3471085.247,7039025.921,9744035.74,6.94,0.2,87.62,48.8,67,69,38.29,17.8,29.7,11.2027,12.57830506,0.929441708,68.00789819,13.75106732,27.57047619,15.71617406,21.17372742,16.66136289,1493.906027,38.2400226
BEN,337000,0.52,47.8,1219.432672,42.36240005,102.833313,47.86100102,18.799999,61.47,3.264884925,420236.6918,458166.0828,251942.952,4025992.023,2540196.066,2801963.812,2.81,0.1,30.94,59.7,84,89,42.17,9,30,9.3077,16.55407074,2.141100164,65.30635468,18.10783251,33.3382266,21.49059113,26.77384236,15.73164204,1132.601388,10.84639964
BWA,1830000,0.728,53.3,7961.325181,86.82318115,3.960079418,70.17198876,25.799999,69.275,4.365895341,103617.6782,88589.2448,93030.57736,1799.117931,303038.1843,432031.1649,6.59,0.5,482.96,11.8,98,98,25.16,20.8,40.4,22.3285,9.151471947,2.652134647,45.81658456,7.837241379,29.34917898,14.72880131,21.76821018,20.69817734,68119.63552,981.4658785
BFA,143000,0.434,35.3,786.8956313,41.22444916,74.10611188,29.97999939,17.6,61.174,2.407287537,682555.0815,782798.9668,435797.3987,6919632.507,6604413.466,5318297.695,12.03,0.1,40.25,49.6,95,98,55.96,6.2,38.3,12.2383,13.70967524,2.403316913,49.44832512,14.21387521,35.42064039,22.30264368,28.36374384,19.448867,677.9559929,8.414783682
BDI,299000,0.423,38.6,261.2474725,68.37532806,414.3219547,13.3659972,17.5,61.247,2.312095315,417389.5926,607918.1755,193188.9263,4106089.816,2271603.107,3084442.725,7.19,0.1,24.03,65.4,97,93,36.81,7.4,27,3.3731,12.88325922,0.591904762,82.49995074,14.82200328,23.86656814,13.94862069,18.24571429,15.93423645,1040.190519,3.295584437
CMR,997000,0.563,46.6,1507.450206,77.07103729,54.42617365,56.96799939,18.799999,58.921,2.723649908,975954.9651,993033.7364,570504.9532,5937208.022,5094334.347,6603955.487,5.65,0.1,54.14,45.2,75,80,65.42,14.7,33.6,3.848,17.3015846,5.612889984,81.21972085,20.07898194,24.21252874,22.85211823,23.50305419,17.51609195,1366.265297,12.09597324
CPV,758000,0.651,42.4,3603.781793,86.79029083,136.4602978,66.19491394,25.700001,72.782,4.698373444,33331.22863,20452.00226,24279.08372,1414.334817,104335.8856,98457.96066,5.6,0.8,194.86,4.1,96,98,62.2,30.3,32.8,16.5388,18.26245621,1.040623974,83.91784893,20.75673235,28.35461412,20.77550082,24.07349754,6.277044335,151699.7463,2454.835571
CAF,109000,0.381,56.2,467.9074406,37.39582062,7.616913866,41.77000475,18.299999,52.805,2.81479015,183036.4395,230784.9855,160403.5305,1370331.021,1445293.285,2143841.549,2.38,0.1,53.66,82.1,69,74,43.27,2.8,36.9,6.6111,16.55717933,1.701970443,73.61720854,18.7546798,30.25279146,19.86630542,24.70937603,9.706305419,2380.518357,21.07399395
TCD,87000,0.401,43.3,709.5403101,22.31155014,12.41968536,23.27899834,16.700001,53.977,2.491641623,471373.7089,491905.5394,269487.3362,1401719.896,4562885.09,4146520.615,1.37,0,29.24,101,65,75,64.27,5.3,26.7,15.4542,7.604142059,3.397405583,26.9944335,4.150065681,36.03387521,20.98732348,28.03686371,24.15372742,313.039369,10.911228
COM,45099.99847,0.538,45.3,1370.148207,58.81702042,457.2197743,29.16395381,20.4,64.118,3.055403427,38190.92385,36391.75986,16309.25991,19271.57993,165801.213,184920.908,0.69,0.3,65.23,50.7,96,94,15.34,11.5,32.1,11.6455,19.91624766,4.083661741,77.12479475,22.64533662,27.35615764,26.5799179,26.98288998,20.23410509,4780.898969,172.7610984
COG,158000,0.608,48.9,2279.969131,80.29875946,15.73247953,67.37300642,19,64.29,2.721415896,219172.4536,248792.6384,185311.8477,965273.2517,1575766.767,1743898.098,9.27,0.2,47.52,38.7,82,80,42.88,18.7,30.8,0.228,19.95296247,0.211313629,86.84825944,22.45679803,28.68197044,21.78743842,24.97366174,15.35996716,2525.412099,34.01165838
CIV,2070000,0.516,41.5,2276.333279,47.16535187,79.75111332,51.23900008,18.700001,57.422,2.873119343,925150.2752,1033030.263,555578.5005,7256254.535,6219985.037,6350704.794,2.71,0.2,71.88,47.2,98,93,57.65,10.6,25.8,7.54,18.3990058,0.301954023,80.05111658,20.90182266,29.16740558,21.54596059,25.09592775,13.61091954,2133.373753,41.17971684
COD,351000,0.459,42.1,580.7168672,77.04267883,37.01311251,45.04600022,17,60.368,3.016939617,2931364.539,3459255.705,2318956.886,21739988.16,29347610.27,30615059.27,2,0.1,18.51,59.8,66,73,42.5,9.8,36.4,4.0383,18.86503019,1.585632184,77.16600985,21.17512315,30.87535304,21.82489327,26.0656486,14.74898194,641.4176324,5.081197361
DJI,63000,0.495,41.6,3414.92487,67.9,41.9637931,77.91497186,25.4,66.582,4.609063643,53967.31525,58912.97744,27025.5426,15090.68845,384444.5252,260788.8738,0.43,0.2,70.86,31.3,90,95,38.34,25,28.1,11.8251,14.67390167,3.861100164,56.70528736,16.46748768,34.31303777,22.53075534,27.62638752,20.18405583,12069.10719,161.2638153
EGY,13026000,0.7,31.5,3019.205829,71.16825104,100.2427211,42.73000041,25.299999,71.825,5.276332976,6361963.101,5077153.689,4398198.567,0,12345344.38,30025082.32,0.36,0.5,125.55,2,96,96,72.31,85,43.3,26.820553,7.210603472,3.106945813,38.17533662,5.005057471,30.3701642,15.30499179,22.47264368,24.0554023,2873.259655,166.7130317
