"","arriv","hdi","gini","gdp_cap","alphab","dens_pop","urb_pop","median_age","life_exp","p65yrs","prev_ch.resp","prev_malaria","alcohol_cons","med_1000","health_exp","lack_hygien","immuniz_dtp1","immuniz_bcg","pm25","hous_fossf","epi","lat_abs","ah_avg","ws2m_avg","rh2m_avg","tmax_avg","tmin_avg","tmoy_avg","insol_avg","conf_pm","death_pm"
"DZA",2371000,0.759,27.6,3973.964072,81.40783691,18.07629545,73.18900072,29.1,76.693,6.552777882,1900258.904,2093.502552,0.95,1.7,255.87,1.9,96,99,35.18,78.9,44.8,28.0339,4.922384622,3.723885505,24.43721072,32.65003654,17.11830694,24.39300853,21.09957369,6170.781752,159.6634701
"AGO",218000,0.574,51.3,2790.726615,66.03011322,25.52762894,66.17699852,16.799999,60.782,2.19934175,1216879.057,3471085.247,6.94,0.2,87.62,48.8,67,69,38.29,17.8,29.7,11.2027,12.72075281,0.892070646,65.96196102,28.22154689,16.70817296,22.02834348,20.06705238,3116.043386,59.70093914
"BEN",337000,0.52,47.8,1219.432672,42.36240005,102.833313,47.86100102,18.799999,61.47,3.264884925,458166.0828,4025992.023,2.81,0.1,30.94,59.7,84,89,42.17,9,30,9.3077,15.93089458,2.065602923,63.68655298,33.22453106,21.27831912,26.65205847,19.05102314,2283.845025,13.81221205
"BWA",1830000,0.728,53.3,7961.325181,86.82318115,3.960079418,70.17198876,25.799999,69.275,4.365895341,88589.2448,1799.117931,6.59,0.5,482.96,11.8,98,98,25.16,20.8,40.4,22.3285,9.32123039,2.7827162,43.73892814,30.60522533,15.9991961,23.0910475,21.60037759,132624.2123,1165.951946
"BFA",143000,0.434,35.3,786.8956313,41.22444916,74.10611188,29.97999939,17.6,61.174,2.407287537,782798.9668,6919632.507,12.03,0.1,40.25,49.6,95,98,55.96,6.2,38.3,12.2383,13.09147414,2.359512789,48.47461632,35.12552984,21.67188794,27.84356882,21.14249086,1026.160726,18.79793782
"BDI",299000,0.423,38.6,261.2474725,68.37532806,414.3219547,13.3659972,17.5,61.247,2.312095315,607918.1755,4106089.816,7.19,0.1,24.03,65.4,97,93,36.81,7.4,27,3.3731,12.9889033,0.584226553,81.8227771,24.12082826,14.22749086,18.53857491,17.52026797,3339.727923,3.295584437
"CMR",997000,0.563,46.6,1507.450206,77.07103729,54.42617365,56.96799939,18.799999,58.921,2.723649908,993033.7364,5937208.022,5.65,0.1,54.14,45.2,75,80,65.42,14.7,33.6,3.848,17.29089135,5.722606577,80.58141291,24.32303289,22.98769793,23.62419001,20.27601705,2162.280814,15.49675805
"CPV",758000,0.651,42.4,3603.781793,86.79029083,136.4602978,66.19491394,25.700001,72.782,4.698373444,20452.00226,1414.334817,5.6,0.8,194.86,4.1,96,98,62.2,30.3,32.8,16.5388,18.17614066,1.014616322,83.62764921,28.3561754,20.6463581,24.02551766,16.57788672,217378.4174,3504.050479
"CAF",109000,0.381,56.2,467.9074406,37.39582062,7.616913866,41.77000475,18.299999,52.805,2.81479015,230784.9855,1370331.021,2.38,0.1,53.66,82.1,69,74,43.27,2.8,36.9,6.6111,16.12381887,1.717563946,71.25062119,30.69507917,19.87028015,24.9345676,19.80036541,3087.129374,23.81361317
"TCD",87000,0.401,43.3,709.5403101,22.31155014,12.41968536,23.27899834,16.700001,53.977,2.491641623,491905.5394,1401719.896,1.37,0,29.24,101,65,75,64.27,5.3,26.7,15.4542,7.362186301,3.477685749,27.43419001,35.07130329,19.79093788,26.84866017,23.77946202,458.3969926,11.97726752
"COM",45099.99847,0.538,45.3,1370.148207,58.81702042,457.2197743,29.16395381,20.4,64.118,3.055403427,36391.75986,19271.57993,0.69,0.3,65.23,50.7,96,94,15.34,11.5,32.1,11.6455,20.04141166,3.986930572,77.24968331,27.46847747,26.65946407,27.07522533,20.82341048,9503.035659,188.0392908
"COG",158000,0.608,48.9,2279.969131,80.29875946,15.73247953,67.37300642,19,64.29,2.721415896,248792.6384,965273.2517,9.27,0.2,47.52,38.7,82,80,42.88,18.7,30.8,0.228,19.95834665,0.208002436,86.47287454,28.80436054,21.82230207,25.05718636,17.1695,4473.741141,71.55458184
"CIV",2070000,0.516,41.5,2276.333279,47.16535187,79.75111332,51.23900008,18.700001,57.422,2.873119343,1033030.263,7256254.535,2.71,0.2,71.88,47.2,98,93,57.65,10.6,25.8,7.54,18.49997619,0.295529842,80.21356882,29.14883069,21.69879415,25.17180268,17.11059074,3373.237088,51.98987858
"COD",351000,0.459,42.1,580.7168672,77.04267883,37.01311251,45.04600022,17,60.368,3.016939617,3459255.705,21739988.16,2,0.1,18.51,59.8,66,73,42.5,9.8,36.4,4.0383,18.67762223,1.549305725,76.12304507,31.11528624,21.79443362,26.16097442,17.43195493,941.8189421,9.171503627
"DJI",63000,0.495,41.6,3414.92487,67.9,41.9637931,77.91497186,25.4,66.582,4.609063643,58912.97744,15090.68845,0.43,0.2,70.86,31.3,90,95,38.34,25,28.1,11.8251,14.85985029,3.898867235,59.12638246,33.67926918,22.03176614,26.99830694,21.91479903,16010.31267,194.1328732
"EGY",13026000,0.7,31.5,3019.205829,71.16825104,100.2427211,42.73000041,25.299999,71.825,5.276332976,5077153.689,0,0.36,0.5,125.55,2,96,96,72.31,85,43.3,26.820553,7.174164971,3.064409257,40.86096224,28.86917174,14.15341048,21.07161998,22.74334957,5033.107867,243.2261052
"GNQ",590340.0002,0.588,46.952,8131.923888,94.3705368,48.34174688,72.62700352,22.4,58.402,2.424508808,54221.11921,463895.3152,7.23,0.4,314.3,22.3,77,85,44.47,32.8,38.1,1.6508,20.18987405,0.975079172,88.65036541,28.20594397,22.59182704,24.79783191,15.45213155,11799.53185,134.9571456
"ERI",142000,0.434,40.806,642.5076591,76.57051849,29.73639456,40.712,19.299999,65.941,4.084,352250.6283,78032.51084,1.44,0.1,23.79,45.6,97,97,37.02,10.3,30.4,15.1794,15.97591351,2.834665043,52.86030451,35.53046285,26.23440926,30.28297199,20.1780268,2781.812983,29.45381756
"SWZ",1226000,0.608,54.6,3894.679807,88.41938019,66.13652074,23.98099518,21.5,59.401,4.014789266,61020.6095,664.3918864,10.04,0.3,271.14,27.9,96,98,19.9,15.5,33.8,26.5225,11.3722505,1.84045067,64.93494519,27.66455542,13.59348356,19.73082826,17.87388551,60769.25087,1214.148224
"ETH",812000,0.47,35,855.7608623,51.7711792,98.63832943,21.22499961,19.799999,66.24,3.516690455,3863516.895,4480495.409,2.36,0.1,24.23,43.7,80,69,31.85,10.5,34.4,9.145,11.0129595,2.023909866,59.35158343,28.26420219,15.60028015,21.2919732,22.75576127,4191.321583,66.89047958
