"","arriv","gini","alphab","dens_pop","urb_pop","prev_ch.resp","prev_malaria","alcohol_cons","med_1000","lack_hygien","immuniz_dtp1","immuniz_bcg","pm25","epi","lat_abs","ws2m_avg","conf_pm","death_pm"
"DZA",2371000,27.6,81.40783691,18.07629545,73.18900072,1900258.904,2093.502552,0.95,1.7,1.9,96,99,35.18,44.8,28.0339,3.723885505,6170.781752,159.6634701
"AGO",218000,51.3,66.03011322,25.52762894,66.17699852,1216879.057,3471085.247,6.94,0.2,48.8,67,69,38.29,29.7,11.2027,0.892070646,3116.043386,59.70093914
"BEN",337000,47.8,42.36240005,102.833313,47.86100102,458166.0828,4025992.023,2.81,0.1,59.7,84,89,42.17,30,9.3077,2.065602923,2283.845025,13.81221205
"BWA",1830000,53.3,86.82318115,3.960079418,70.17198876,88589.2448,1799.117931,6.59,0.5,11.8,98,98,25.16,40.4,22.3285,2.7827162,132624.2123,1165.951946
"BFA",143000,35.3,41.22444916,74.10611188,29.97999939,782798.9668,6919632.507,12.03,0.1,49.6,95,98,55.96,38.3,12.2383,2.359512789,1026.160726,18.79793782
"BDI",299000,38.6,68.37532806,414.3219547,13.3659972,607918.1755,4106089.816,7.19,0.1,65.4,97,93,36.81,27,3.3731,0.584226553,3339.727923,3.295584437
"CMR",997000,46.6,77.07103729,54.42617365,56.96799939,993033.7364,5937208.022,5.65,0.1,45.2,75,80,65.42,33.6,3.848,5.722606577,2162.280814,15.49675805
"CPV",758000,42.4,86.79029083,136.4602978,66.19491394,20452.00226,1414.334817,5.6,0.8,4.1,96,98,62.2,32.8,16.5388,1.014616322,217378.4174,3504.050479
"CAF",109000,56.2,37.39582062,7.616913866,41.77000475,230784.9855,1370331.021,2.38,0.1,82.1,69,74,43.27,36.9,6.6111,1.717563946,3087.129374,23.81361317
"TCD",87000,43.3,22.31155014,12.41968536,23.27899834,491905.5394,1401719.896,1.37,0,101,65,75,64.27,26.7,15.4542,3.477685749,458.3969926,11.97726752
