"Code_ISO","clusters","arriv","gini","alphab","urb_pop","med_1000","lack_hygien","pm25","epi","lat_abs","conf_pm","death_pm"
"DZA",1,2371000,27.6,81.40783691,73.18900072,1.7,1.9,35.18,44.8,28.0339,6170.781752,159.6634701
"AGO",2,218000,51.3,66.03011322,66.17699852,0.2,48.8,38.29,29.7,11.2027,3116.043386,59.70093914
"BEN",3,337000,47.8,42.36240005,47.86100102,0.1,59.7,42.17,30,9.3077,2283.845025,13.81221205
"BWA",1,1830000,53.3,86.82318115,70.17198876,0.5,11.8,25.16,40.4,22.3285,132624.2123,1165.951946
"BFA",3,143000,35.3,41.22444916,29.97999939,0.1,49.6,55.96,38.3,12.2383,1026.160726,18.79793782
"BDI",2,299000,38.6,68.37532806,13.3659972,0.1,65.4,36.81,27,3.3731,3339.727923,3.295584437
"CMR",2,997000,46.6,77.07103729,56.96799939,0.1,45.2,65.42,33.6,3.848,2162.280814,15.49675805
"CPV",3,758000,42.4,86.79029083,66.19491394,0.8,4.1,62.2,32.8,16.5388,217378.4174,3504.050479
"CAF",2,109000,56.2,37.39582062,41.77000475,0.1,82.1,43.27,36.9,6.6111,3087.129374,23.81361317
"TCD",3,87000,43.3,22.31155014,23.27899834,0,101,64.27,26.7,15.4542,458.3969926,11.97726752
"COM",2,45099.99847,45.3,58.81702042,29.16395381,0.3,50.7,15.34,32.1,11.6455,9503.035659,188.0392908
"COG",2,158000,48.9,80.29875946,67.37300642,0.2,38.7,42.88,30.8,0.228,4473.741141,71.55458184
"CIV",3,2070000,41.5,47.16535187,51.23900008,0.2,47.2,57.65,25.8,7.54,3373.237088,51.98987858
"COD",2,351000,42.1,77.04267883,45.04600022,0.1,59.8,42.5,36.4,4.0383,941.8189421,9.171503627
"DJI",2,63000,41.6,67.9,77.91497186,0.2,31.3,38.34,28.1,11.8251,16010.31267,194.1328732
"EGY",1,13026000,31.5,71.16825104,42.73000041,0.5,2,72.31,43.3,26.820553,5033.107867,243.2261052
"GNQ",2,590340.0002,46.952,94.3705368,72.62700352,0.4,22.3,44.47,38.1,1.6508,11799.53185,134.9571456
"ERI",2,142000,40.806,76.57051849,40.712,0.1,45.6,37.02,30.4,15.1794,2781.812983,29.45381756
"SWZ",2,1226000,54.6,88.41938019,23.98099518,0.3,27.9,19.9,33.8,26.5225,60769.25087,1214.148224
"ETH",2,812000,35,51.7711792,21.22499961,0.1,43.7,31.85,34.4,9.145,4191.321583,66.89047958
"GAB",2,526000,38,84.66716003,89.74099446,0.7,20.6,40.81,45.8,0.8037,21902.08043,139.4655845
"GMB",3,619000,35.9,50.77796936,61.9310084,0.1,29.7,57.74,27.9,13.4432,5106.261176,155.470915
"GHA",2,897000,43.5,79.03964233,56.70700131,0.1,18.8,54.5,27.6,7.9465,5291.990336,47.5049918
"GIN",3,99000,33.7,32.0038414,36.50000164,0.1,44.6,53.32,26.4,9.9456,2854.772353,34.45239407
"GNB",3,52400.00153,50.7,45.5811615,43.77699875,0.1,35.3,54.43,29.1,11.8037,4242.233677,88.49916863
"KEN",2,2049000,40.8,81.53497314,27.50700047,0.2,51.2,26.6,34.7,0.0236,6151.770192,107.4295831
"LSO",2,1142000,44.9,76.6352005,28.58500669,0.1,44.4,24.49,28,29.61,15485.10588,327.9586386
"LBR",3,483207,35.3,48.30136108,51.6150083,0,41.5,52.28,22.6,6.428055,1498.772424,59.54582335
"LBY",1,760000,31.72,86.09999847,80.3930002,2.1,0.6,49.23,43.632,26.3351,74025.60726,946.5209049
"MDG",2,486000,42.6,74.80432129,37.8609988,0.2,30.2,17.5,26.5,18.766947,2373.401734,51.31759596
"MWI",2,871000,44.7,62.14353943,17.17399995,0,28.3,25.62,38.3,13.2543,4597.195936,140.9649291
"MLI",3,217000,33,35.47377014,43.13599872,0.1,70.7,63.64,29.4,17.570692,1550.71482,36.9823407
"MRT",3,30000,32.6,53.49758911,54.50699738,0.7,38.6,74.13,27.7,21.0079,12963.53091,216.9831999
"MUS",1,1418000,36.8,91.32539368,40.76602005,2.5,0.6,10.52,45.1,20.348404,166185.6459,764.7875384
"MAR",1,13109000,39.5,73.75000763,62.99399955,0.2,1.9,28.38,42.3,31.7917,31895.18995,440.3405823
"MOZ",2,2033000,54,60.65542984,36.52800122,0.1,27.6,21.22,33.9,18.665695,7418.024532,72.44936415
"NAM",1,1651000,59.1,91.52726746,51.0419999,0.4,18.3,24.05,40.2,22.9576,63196.67432,1611.125142
"NER",3,192000,34.3,35.04999924,16.51700087,0,70.8,93.18,30.8,17.607789,377.5516967,13.21280793
"NGA",3,5265000,35.1,62.01601028,51.15699983,0.4,68.6,61.73,31,9.082,1270.951562,15.63467223
"RWA",2,1634000,43.7,73.21559143,17.31300116,0.1,19.3,39.7,33.8,1.9403,10273.42311,115.5465096
"STP",2,33400.00153,56.3,92.81664276,73.59803958,0.1,11.4,39,37.6,0.1864,27643.9625,339.4464698
"SEN",3,1376000,40.3,51.90042114,47.65299793,0.1,23.9,59.78,30.7,14.4974,5270.807648,120.5176811
"SYC",1,428000,32.1,95.8677063,57.11856594,2.1,0.2,13.67,58.2,4.6796,414043.5339,1679.897567
"SLE",3,71000,35.7,43.20632935,42.48399666,0,81.3,54.28,25.7,8.460555,982.1821107,15.99853581
"SOM",2,828447,36.8,37.8,45.55400036,0,86.6,27.67,31.609,5.152149,1710.170463,88.13108674
"ZAF",1,14797000,63,87.04666901,66.8559966,0.9,13.7,25.15,43.1,30.5595,63508.60434,1708.247187
"SSD",2,500054,44.1,34.52275848,19.89900121,0.092,63.3,34.75,30.084,6.877,1560.461369,12.47501269
"SDN",2,836000,34.2,60.6971817,34.9360004,0.3,17.3,43.8,34.8,12.8628,1447.099143,114.6140827
"TZA",2,1527000,40.5,77.88722992,34.50000046,0,38.4,26.73,31.1,6.369028,582.9623324,13.7918044
"TGO",3,876000,43.1,63.74562073,42.24800015,0.1,41.6,45.48,29.5,8.6195,4570.320127,33.65351186
"TUN",1,9429000,32.8,79.03643036,69.2540026,1.3,1,33.27,46.7,33.886917,88577.07483,2421.862381
"UGA",2,1402000,42.8,76.52749634,24.36100046,0.2,31.6,42.75,35.6,1.373333,3702.428353,81.22956809
"ZMB",1,1266000,57.1,86.74796295,44.07199921,1.2,34.9,30.79,34.7,13.133897,17739.73841,222.0476647
"ZWE",2,2294000,50.3,88.69342041,32.20999834,0.2,24.6,25.18,37,19.015438,16816.53328,371.7190874
