Code_ISO,Pays,Latitude,Longitude,Population,Regions
DZA,Algeria,28.0339,1.6596,43053054,AN
AGO,Angola,-11.2027,17.8739,31825295,AC
BEN,Benin,9.3077,2.3158,11801151,AO
BWA,Botswana,-22.3285,24.6849,2303697,AA
BFA,Burkina Faso,12.2383,-1.5616,20321378,AO
BDI,Burundi,-3.3731,29.9189,11530580,AE
CPV,Cabo Verde,16.5388,-23.0418,25876380,AC
CMR,Cameroon,3.848,11.5021,549935,AO
CAF,Central African Republic,6.6111,20.9394,4745185,AC
TCD,Chad,15.4542,18.7322,15946876,AC
COM,Comoros,-11.6455,43.3333,850886,AA
COG,Congo (Brazzaville),-0.228,15.8277,5380508,AC
COD,Congo (Kinshasa),-4.0383,21.7587,25716544,AO
CIV,Cote d'Ivoire,7.54,-5.5471,86790567,AC
DJI,Djibouti,11.8251,42.5903,973560,AE
EGY,Egypt,26.820553,30.802498,100388073,AN
GNQ,Equatorial Guinea,1.6508,10.2679,1355986,AC
ERI,Eritrea,15.1794,39.7823,3497000,AE
SWZ,Eswatini,-26.5225,31.4659,1148130,AA
ETH,Ethiopia,9.145,40.4897,112078730,AE
GAB,Gabon,-0.8037,11.6094,2172579,AC
GMB,Gambia,13.4432,-15.3101,2347706,AO
GHA,Ghana,7.9465,-1.0232,30417856,AO
GIN,Guinea,9.9456,-9.6966,12771246,AO
GNB,Guinea-Bissau,11.8037,-15.1804,1920922,AO
KEN,Kenya,-0.0236,37.9062,52573973,AE
LSO,Lesotho,-29.61,28.2336,2125268,AA
LBR,Liberia,6.428055,-9.429499,4937374,AO
LBY,Libya,26.3351,17.228331,6777452,AN
MDG,Madagascar,-18.766947,46.869107,26969307,AA
MWI,Malawi,-13.2543,34.3015,18628747,AA
MLI,Mali,17.570692,-3.996166,19658031,AO
MRT,Mauritania,21.0079,-10.9408,4525696,AN
MUS,Mauritius,-20.348404,57.552152,1265711,AA
MAR,Morocco,31.7917,-7.0926,36471769,AN
MOZ,Mozambique,-18.665695,35.529562,30366036,AA
NAM,Namibia,-22.9576,18.4904,2494530,AA
NER,Niger,17.607789,8.081666,23310715,AO
NGA,Nigeria,9.082,8.6753,200963599,AO
RWA,Rwanda,-1.9403,29.8739,12626950,AE
STP,Sao Tome and Principe,0.1864,6.6131,215056,AC
SEN,Senegal,14.4974,-14.4524,16296364,AO
SYC,Seychelles,-4.6796,55.492,97625,AE
SLE,Sierra Leone,8.460555,-11.779889,7813215,AO
SOM,Somalia,5.152149,46.199616,15442905,AE
ZAF,South Africa,-30.5595,22.9375,58558270,AA
SSD,South Sudan,6.877,31.307,11062113,AE
SDN,Sudan,12.8628,30.2176,42813238,AN
TZA,Tanzania,-6.369028,34.888822,58005463,AE
TGO,Togo,8.6195,0.8248,8082366,AO
TUN,Tunisia,33.886917,9.537499,11694719,AN
UGA,Uganda,1.373333,32.290275,44269594,AE
ZMB,Zambia,-13.133897,27.849332,17861030,AA
ZWE,Zimbabwe,-19.015438,29.154857,14645468,AA
