,arriv,hdi,gini,gdp_cap,alphab,dens_pop,urb_pop,median_age,life_exp,p65yrs,prev_cvlds,prev_ch.resp,prev_diab,prev_malaria,prev_nutdef,pref_respdtub,alcohol_cons,med_1000,health_exp,lack_hygien,immuniz_dtp1,immuniz_bcg,pm25,hous_fossf,epi,lat_abs,ah_avg,ws2m_avg,rh2m_avg,tdew_avg,tmax_avg,tmin_avg,tmoy_avg,insol_avg,conf_pm,death_pm
arriv,1,0.495682838,0.021231989,0.340118163,0.411549457,0.139622642,0.050352582,0.319797167,0.249704593,0.264036592,0.514770345,0.467047837,0.575300172,-0.093219422,0.274785592,0.401181628,0.124073262,0.359466389,0.431751477,-0.464054281,0.336793311,0.336236917,-0.293462931,0.433736779,0.45465635,0.317857824,-0.345683248,0.015818563,-0.18376215,-0.334171908,-0.308023633,-0.461025348,-0.514694111,0.051114923,0.344387269,0.372212693
hdi,0.495682838,1,0.059298935,0.859353859,0.819937105,0.117945297,0.55011913,0.724045249,0.645916328,0.496635855,-0.056227962,-0.132202421,0.071857429,-0.537121741,-0.33149719,-0.189383399,0.26048338,0.808671063,0.824702186,-0.78954692,0.342509338,0.453197202,-0.319412943,0.879603507,0.616438879,0.230706186,-0.085618984,0.110740494,0.064728867,-0.058019632,-0.536243212,-0.225902984,-0.477308684,-0.074754599,0.765729537,0.730620417
gini,0.021231989,0.059298935,1,0.02870321,0.263512999,-0.07558893,-0.027102234,-0.10245949,-0.309445758,-0.211290692,-0.233094458,-0.227910346,-0.268354045,0.032664293,-0.218495083,-0.164786155,0.386566794,-0.078906447,0.090645727,0.04069302,-0.069619362,0.032238416,-0.351833499,-0.130796943,-0.000476517,-0.103186704,0.195814592,-0.185255775,0.307349242,0.203285812,-0.280742548,-0.039262026,-0.186284974,-0.263284288,0.203018983,0.081878478
gdp_cap,0.340118163,0.859353859,0.02870321,1,0.668305698,-0.03388603,0.626529445,0.688400864,0.459195731,0.476195921,-0.201143511,-0.289498761,-0.06956356,-0.528370584,-0.393558224,-0.295216314,0.219100802,0.762472454,0.81841052,-0.611115347,0.129818512,0.356060495,-0.162569087,0.817383021,0.488240004,0.220354488,-0.079473985,0.084505432,-0.042424242,-0.067200305,-0.301315037,-0.091747665,-0.281113017,-0.034877073,0.705660377,0.63643987
alphab,0.411549457,0.819937105,0.263512999,0.668305698,1,0.071088241,0.402401372,0.576374624,0.49693158,0.345225843,-0.161654279,-0.220125786,-0.067886411,-0.44457613,-0.37327997,-0.260072422,0.404429282,0.648518206,0.691099676,-0.693336892,0.335645152,0.452542882,-0.470935773,0.712436866,0.594251517,0.07352773,0.036249285,0.055993901,0.225385935,0.070020964,-0.564170002,-0.160434534,-0.46201639,-0.165542215,0.718391462,0.635448828
dens_pop,0.139622642,0.117945297,-0.07558893,-0.03388603,0.071088241,1,-0.220125786,0.048082059,0.15166762,-0.020316371,-0.009262436,0.017190776,-0.041509434,0.073072122,-0.060567944,-0.019706499,0.278945663,-0.064742287,0.015971031,-0.115842037,0.489613275,0.34013288,-0.070325901,0.03682455,-0.040064042,-0.23567753,0.357423289,-0.071088241,0.409033734,0.362988374,-0.355974843,0.235372594,0.004612159,-0.321898228,0.107223175,0.042424242
urb_pop,0.050352582,0.55011913,-0.027102234,0.626529445,0.402401372,-0.220125786,1,0.39941282,0.325938632,0.327768249,-0.184753192,-0.262435678,-0.0882409,-0.383294758,-0.309853249,-0.278597294,0.014141684,0.496735684,0.514312941,-0.458527103,-0.086150198,0.071387799,0.140689918,0.645192036,0.242785805,0.056832476,0.137564322,0.054164284,0.037240328,0.128492472,-0.035868115,0.134667429,-0.00499333,-0.131923004,0.432056413,0.416809605
median_age,0.319797167,0.724045249,-0.10245949,0.688400864,0.576374624,0.048082059,0.39941282,1,0.601845532,0.825478581,-0.240410294,-0.311751715,-0.131281942,-0.724024925,-0.513459955,-0.381682322,-0.054183908,0.670048515,0.730420237,-0.720533875,0.294374159,0.488327942,-0.350530029,0.743607856,0.455594128,0.380347769,-0.101540462,0.132997796,-0.027568064,-0.068557924,-0.354876861,-0.176809284,-0.359261822,-0.028635707,0.741630487,0.707885346
life_exp,0.249704593,0.645916328,-0.309445758,0.459195731,0.49693158,0.15166762,0.325938632,0.601845532,1,0.562187917,0.025500286,-0.005450734,0.103792643,-0.497386478,-0.20792834,-0.124604536,-0.133831405,0.519698659,0.371069182,-0.744453763,0.529301305,0.494176216,-0.245740423,0.686019254,0.494110473,0.238117019,-0.163255193,0.276843911,-0.100438346,-0.129331046,-0.24360587,-0.115761387,-0.208157042,0.158681151,0.553573471,0.564474938
p65yrs,0.264036592,0.496635855,-0.211290692,0.476195921,0.345225843,-0.020316371,0.327768249,0.825478581,0.562187917,1,-0.153039832,-0.213569659,-0.046922051,-0.696035808,-0.394549266,-0.286373166,-0.256151251,0.46047218,0.501505622,-0.608675765,0.235908405,0.400864074,-0.317629121,0.578823981,0.362253651,0.510882409,-0.174842767,0.292548123,-0.187802554,-0.151820088,-0.17545264,-0.142595769,-0.198322851,0.087326091,0.543358109,0.583838384
prev_cvlds,0.514770345,-0.056227962,-0.233094458,-0.201143511,-0.161654279,-0.009262436,-0.184753192,-0.240410294,0.025500286,-0.153039832,1,0.978044597,0.967371832,0.489831241,0.913245664,0.969125214,-0.172749624,-0.084223652,-0.216847723,0.100937714,-0.037468256,-0.22699716,0.0846579,-0.056304203,0.103000038,0.090680389,-0.377854012,0.000266819,-0.326319802,-0.386468458,0.042576711,-0.36329331,-0.21623785,0.264722699,-0.394701734,-0.311301696
prev_ch.resp,0.467047837,-0.132202421,-0.227910346,-0.289498761,-0.220125786,0.017190776,-0.262435678,-0.311751715,-0.005450734,-0.213569659,0.978044597,1,0.921326472,0.542870535,0.925976749,0.970649895,-0.138901065,-0.144623707,-0.309014675,0.153769917,-0.055302992,-0.273557742,0.083133219,-0.125264463,0.044562193,0.005679436,-0.345225843,-0.045473604,-0.270821422,-0.351629503,0.043034115,-0.363903183,-0.209148085,0.242462359,-0.455993901,-0.372975033
prev_diab,0.575300172,0.071857429,-0.268354045,-0.06956356,-0.067886411,-0.041509434,-0.0882409,-0.131281942,0.103792643,-0.046922051,0.967371832,0.921326472,1,0.364902715,0.832437583,0.909129026,-0.186700719,0.040371021,-0.084124261,-0.020279027,-0.020934766,-0.167182663,0.071926815,0.066406176,0.211260627,0.158986087,-0.408881265,0.032056413,-0.352696779,-0.41764818,0.005831904,-0.386925862,-0.266323613,0.245587955,-0.287287974,-0.207318468
prev_malaria,-0.093219422,-0.537121741,0.032664293,-0.528370584,-0.44457613,0.073072122,-0.383294758,-0.724024925,-0.497386478,-0.696035808,0.489831241,0.542870535,0.364902715,1,0.672530624,0.613996611,0.162745973,-0.513401031,-0.600259815,0.618637282,-0.230107154,-0.441173315,0.304231867,-0.582915424,-0.400114679,-0.514175895,0.225397923,-0.367192181,0.194490133,0.1933454,0.231732112,0.141832416,0.186782264,-0.166940226,-0.706109458,-0.789827596
prev_nutdef,0.274785592,-0.33149719,-0.218495083,-0.393558224,-0.37327997,-0.060567944,-0.309853249,-0.513459955,-0.20792834,-0.394549266,0.913245664,0.925976749,0.832437583,0.672530624,1,0.957461407,-0.186662601,-0.307437844,-0.437545264,0.38324312,-0.203645137,-0.374661811,0.210748999,-0.304240924,-0.115846453,-0.097236516,-0.249780827,-0.066819135,-0.277301315,-0.270440252,0.243148466,-0.197484277,0.023441967,0.275395464,-0.617838765,-0.525824281
pref_respdtub,0.401181628,-0.189383399,-0.164786155,-0.295216314,-0.260072422,-0.019706499,-0.278597294,-0.381682322,-0.124604536,-0.286373166,0.969125214,0.970649895,0.909129026,0.613996611,0.957461407,1,-0.122053022,-0.194148622,-0.319534972,0.256118015,-0.124192533,-0.311868048,0.144654088,-0.192776137,-0.017344566,-0.033809796,-0.308099867,-0.09655041,-0.261902039,-0.322203164,0.091823899,-0.316638079,-0.152582428,0.233161807,-0.51316943,-0.447379455
alcohol_cons,0.124073262,0.26048338,0.386566794,0.219100802,0.404429282,0.278945663,0.014141684,-0.054183908,-0.133831405,-0.256151251,-0.172749624,-0.138901065,-0.186700719,0.162745973,-0.186662601,-0.122053022,1,0.076596866,0.23030742,-0.074046544,0.132940211,0.092187126,-0.194019326,0.067131748,0.141351377,-0.383235816,0.304141493,-0.385789704,0.489203149,0.30166384,-0.417770493,0.01132097,-0.256265604,-0.421658503,0.116297242,0.024204769
med_1000,0.359466389,0.808671063,-0.078906447,0.762472454,0.648518206,-0.064742287,0.496735684,0.670048515,0.519698659,0.46047218,-0.084223652,-0.144623707,0.040371021,-0.513401031,-0.307437844,-0.194148622,0.076596866,1,0.738218546,-0.641168675,0.214046705,0.339060191,-0.23960514,0.786762219,0.569814684,0.346557051,-0.196417536,0.136486912,-0.104174447,-0.173141608,-0.331887348,-0.28001528,-0.396277562,0.073700585,0.712360751,0.702580949
