"","arriv","hdi","gini","gdp_cap","alphab","dens_pop","urb_pop","median_age","life_exp","p65yrs","prev_cvlds","prev_ch.resp","prev_diab","prev_malaria","prev_nutdef","pref_respdtub","alcohol_cons","med_1000","health_exp","lack_hygien","immuniz_dtp1","immuniz_bcg","pm25","hous_fossf","epi","lat_abs","ah_avg","ws2m_avg","rh2m_avg","tdew_avg","tmax_avg","tmin_avg","tmoy_avg","insol_avg","conf_pm","death_pm"
"arriv","","0.0001","0.8789","0.0122","0.0022","0.313","0.717","0.0184","0.0688","0.054","0.0001","0.0004","<0.001","0.5026","0.0447","0.0028","0.3714","0.0076","0.0012","0.0004","0.0128","0.0129","0.0316","0.0011","0.0006","0.0196","0.0108","0.9095","0.183","0.0139","0.0238","0.0005","0.0001","0.7129","0.0111","0.0059"
"hdi","0.0001","","0.6702","<0.001","<0.001","0.3957","<0.001","<0.001","<0.001","0.0001","0.6863","0.3406","0.6056","<0.001","0.0143","0.1702","0.0571","<0.001","<0.001","<0.001","0.0112","0.0006","0.0186","<0.001","<0.001","0.0933","0.5382","0.4253","0.6419","0.6769","<0.001","0.1005","0.0003","0.5911","<0.001","<0.001"
"gini","0.8789","0.6702","","0.8368","0.0542","0.587","0.8458","0.461","0.0228","0.1251","0.0898","0.0974","0.0498","0.8146","0.1124","0.2338","0.0039","0.5706","0.5145","0.7702","0.6169","0.817","0.0091","0.3458","0.9973","0.4578","0.1559","0.1799","0.0238","0.1404","0.0398","0.778","0.1774","0.0544","0.1409","0.5561"
"gdp_cap","0.0122","<0.001","0.8368","","<0.001","0.8074","<0.001","<0.001","0.0005","0.0003","0.1444","0.0341","0.6163","<0.001","0.0035","0.0306","0.1114","<0.001","<0.001","<0.001","0.3495","0.0082","0.2395","<0.001","0.0002","0.1093","0.5668","0.5424","0.7601","0.6283","0.0272","0.5083","0.0398","0.8018","<0.001","<0.001"
"alphab","0.0022","<0.001","0.0542","<0.001","","0.6085","0.0027","<0.001","0.0002","0.0109","0.2421","0.1097","0.6248","0.0008","0.0057","0.0578","0.0024","<0.001","<0.001","<0.001","0.0131","0.0006","0.0004","<0.001","<0.001","0.5963","0.7942","0.6868","0.1013","0.6139","<0.001","0.2457","0.0005","0.2309","<0.001","<0.001"
"dens_pop","0.313","0.3957","0.587","0.8074","0.6085","","0.1097","0.7299","0.2728","0.8839","0.947","0.9017","0.7651","0.5995","0.6627","0.8874","0.0411","0.6419","0.9086","0.4042","0.0002","0.0119","0.6124","0.7915","0.7736","0.0863","0.0083","0.6085","0.0023","0.0073","0.0086","0.0867","0.9737","0.018","0.4392","0.7601"
"urb_pop","0.717","<0.001","0.8458","<0.001","0.0027","0.1097","","0.0028","0.0165","0.0159","0.1806","0.0555","0.5247","0.0042","0.023","0.0417","0.9192","0.0001","0.0001","0.0005","0.5356","0.608","0.3093","<0.001","0.0769","0.6823","0.3202","0.6965","0.7887","0.3534","0.7963","0.3306","0.9715","0.3406","0.0012","0.0019"
"median_age","0.0184","<0.001","0.461","<0.001","<0.001","0.7299","0.0028","","<0.001","<0.001","0.0799","0.0217","0.344","<0.001","0.0001","0.0044","0.6972","<0.001","<0.001","<0.001","0.0307","0.0002","0.0094","<0.001","0.0005","0.0046","0.465","0.3377","0.8431","0.6223","0.0085","0.2009","0.0076","0.8371","<0.001","<0.001"
"life_exp","0.0688","<0.001","0.0228","0.0005","0.0002","0.2728","0.0165","<0.001","","<0.001","0.8545","0.9689","0.454","0.0001","0.1312","0.3683","0.3346","0.0001","0.006","<0.001","<0.001","0.0001","0.0734","<0.001","0.0001","0.083","0.2375","0.043","0.4688","0.3503","0.076","0.4034","0.1307","0.251","<0.001","<0.001"
"p65yrs","0.054","0.0001","0.1251","0.0003","0.0109","0.8839","0.0159","<0.001","<0.001","","0.2684","0.1208","0.7355","<0.001","0.0034","0.0362","0.0615","0.0005","0.0001","<0.001","0.0859","0.0027","0.0197","<0.001","0.0071","0.0001","0.2054","0.0322","0.1734","0.2723","0.2038","0.3027","0.1502","0.529","<0.001","<0.001"
